"ntee","description","definition"
"S80","Community Service Clubs","Organizations whose members are business and professional men and/or women or other individuals who have a common interest in improving the life of the community, which conduct fund-raising events to finance community service projects. Many service clubs are chapters of national or international organizations."
"S81","Womens Service Clubs","Organizations whose members are women who have a common interest in improving the life of the community, which conduct fund-raising events to finance community service projects."
"S82","Mens Service Clubs","Organizations whose members are men who have a common interest in improving the life of the community, which conduct fund-raising events to finance community service projects."
"S99","Community Improvement & Capacity Building N.E.C.","Use this code for organizations that clearly provide community improvement, capacity building services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"T","Philanthropy, Voluntarism & Grantmaking Foundations",NA
"T01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Philanthropy, Voluntarism, and Grantmaking Foundations major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"T02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Philanthropy, Voluntarism, and Grantmaking Foundations major group area."
"T03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Philanthropy, Voluntarism, and Grantmaking Foundations major group area."
"T05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Philanthropy, Voluntarism, and Grantmaking Foundations major group area."
"T11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Philanthropy, Voluntarism & Grantmaking Foundations major group area."
"T12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Philanthropy, Voluntarism, and Grantmaking Foundations major group area."
"T19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Philanthropy, Voluntarism, and Grantmaking Foundations major group area."
"T20","Private Grantmaking Foundations","Nongovernmental, nonprofit organizations with funds (usually from a single source, such as an individual, family or corporation) and programs managed by its own trustees or directors, established to maintain or aid social, educational, religious or other charitable activities serving the common welfare, primarily through grantmaking. T20 should be used only if one of the more specific codes in the T20 series cannot be determined."
"T21","Corporate Foundations","Private foundations whose grant funds are derived primarily from the contributions of a profit-making business organization."
"T22","Private Independent Foundations","Private foundations that make grants based on charitable endowments. Because of their endowments, they are focused primarily on grantmaking and generally do not actively raise funds or seek public financial support. These are the most common type of private foundation. They are generally endowed, usually from a single individual or family. Private foundations are considered family foundations if relatives or the original donor are still active on the board of trustees or in the operation of the foundation."
"T23","Private Operating Foundations","Private foundations that use a bulk of their resources to provide charitable services or run charitable programs of their own. They make few, if any, grants to outside organizations and, like private independent foundations, they generally do not raise funds from the public."
"T30","Public Foundations","Organizations, sometimes referred to as public charities, that derive their funding or support primarily from the general public in carrying out their social, educational, religious or other charitable activities serving the common welfare. Although public foundations may provide direct charitable services to the public as other nonprofits do, their primary focus is on grantmaking."
"T31","Community Foundations","Organizations that make grants for charitable purposes in a specific community or region. The funds available to a community foundation are usually derived from many donors and held in an endowment that is independently administered; income earned by the endowment is then used to make grants. (rev. 11/04)"
"T40","Voluntarism Promotion","Organizations that encourage people to volunteer. (rev. 1/05)"
"T50","Philanthropy, Charity & Voluntarism Promotion","Organizations concerned with civil society, philanthropy, and the nonprofit sector who seek to promote the practice of charitable giving and voluntarism through a variety of strategies including advocacy, disclosure, information exchange, and research. (rev. 1/05)"
"T70","Federated Giving Programs","Organizations that administer centralized fundraising efforts and then in turn distribute the contributed funds to several nonprofit agencies. United Way and community chests or funds, the United Jewish Appeal and other religious appeals are examples of federated giving programs. (rev. 1/05)"
"T90","Named Trusts N.E.C.","Use this code for named trusts not classified elsewhere. (rev. 11/04)"
"T99","Philanthropy, Voluntarism & Grantmaking Foundations N.E.C.","Use this code for organizations that clearly provide philanthropy, voluntarism and grantmaking services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"U","Science & Technology",NA
"U01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Science and Technology Research Institutes, Services major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"U02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Science and Technology Research Institutes, Services major group area."
"U03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Science and Technology Research Institutes, Services major group area."
"U05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Science and Technology Research Institutes, Services major group area."
"U11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Science & Technology major group area."
"U12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Science and Technology Research Institutes, Services major group area."
"U19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Science and Technology Research Institutes, Services major group area."
"U20","General Science","Organizations that focus broadly on scientific research and inquiry or which engage in interdisciplinary science activities."
"U21","Marine Science & Oceanography","Organizations that support or conduct research in the area of science that studies the oceans and associated phenomena including the land/ water and water/atmospheric boundaries."
"U30","Physical & Earth Sciences","Organizations that conduct research in the physical and earth sciences, i.e., the area of science that studies inanimate objects, processes of matter and energy and associated phenomena. Use this code for organizations that conduct research that broadly covers the physical and earth sciences or for those that address areas of scientific study not specified below."
"U31","Astronomy","Organizations that conduct research in astronomy, the physical science that addresses matter and energy in the universe using observational techniques such as spectroscopy, photometry, interferometry, radio astronomy and optical astronomy."
"U33","Chemistry & Chemical Engineering","Organizations that conduct research in chemistry, the science which addresses the composition and behavior of matter including its micro- and macro-structure, the processes of chemical change and the theoretical description and laboratory simulation of these phenomena."
"U34","Mathematics","Organizations that conduct research in mathematics, the science which addresses quantities, magnitudes, forms and their relationships using symbolic logic and language."
"U36","Geology","Organizations that conduct research in the area of science that studies the earth; the forces acting upon it; and the behavior of the solids, liquids and gases comprising it."
"U40","Engineering & Technology","Organizations that conduct research in the area of science which applies mathematical and scientific principles to the solution of practical problems for the benefit of society."
"U41","Computer Science","Organizations that conduct research in the area of science that addresses the study of data and information storage and processing systems including hardware, software, basic design principles, user requirements analysis and related economic and policy issues."
"U42","Engineering","Organizations that conduct research in the field of engineering in which mathematical and scientific principles are applied to solve a wide variety of practical problems in industry, social organization, public works and commerce."
"U50","Biological & Life Sciences","Organizations that conduct research in the sciences which analyze the structure, function, growth, origin, evolution or distribution of living organisms and their relations to their natural environments."
"U99","Science & Technology N.E.C.","Use this code for organizations that clearly provide science and technology research services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"V","Social Science",NA
"V01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Social Science Research Institutes, Services major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"V02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Social Science Research Institutes, Services major group area."
"V03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Social Science Research Institutes, Services major group area."
"V05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Social Science Research Institutes, Services major group area."
"V11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Social Science major group area."
"V12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Social Science Research Institutes, Services major group area."
"V19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Social Science Research Institutes, Services major group area."
"V20","Social Science","Organizations that conduct research, study or teaching in one or more of the social sciences, i.e., those involving the systematic study of social systems, social institutions and social behavior."
"V21","Anthropology & Sociology","Organizations that conduct research in the area of social science that involves the systematic study of human beings, their antecedents and related primates, and their cultural behavior and institutions in comparative perspective (anthropology); and/or the study of social institutions and social relationships (sociology)."
"V22","Economics","Organizations that conduct research in the area of social science that involves the systematic study of the production, conservation and allocation of resources in conditions of scarcity, together with the organizational frameworks related to these processes."
"V23","Behavioral Science","Organizations that conduct research in psychology, the social science that involves the systematic study of individual and collective behavior, the physical and environmental bases of behavior, and the analysis and treatment of behavior problems and disorders."
"V24","Political Science","Organizations that conduct research in the area of social science that involves the systematic study of political institutions and behavior."
"V25","Population Studies","Organizations that conduct research in the area of social science that involves the systematic study of population models and population phenomena, and related problems of social structure and behavior."
"V26","Law & Jurisprudence","Organizations that conduct research in the area of social science that involves the systematic study of the theory, history and application of the rules of conduct by which societal relations are formally structured and adjudicated."
"V30","Interdisciplinary Research","Organizations that bring together the humanities, physical sciences and social sciences to develop and enhance a broad understanding of particular populations, cultures or other related areas of research. Use this code for organizations that conduct broadly conceived interdisciplinary research or for those that address areas of interdisciplinary study not specified below."
"V31","Black Studies","Organizations that conduct research in the area of social science that involves the systematic study of the history, society, politics, culture and economics of the African American populations of the Western Hemisphere, with emphasis on the United States and the Caribbean."
"V32","Womens Studies","Organizations that conduct research in the area of social science that involves the systematic study of the history, society, politics, culture and economics of women as individuals and social actors."
"V33","Ethnic Studies","Organizations that conduct research in the area of social science that involves the systematic study of the history, society, politics, culture and economics of subsets of the population sharing common racial characteristics or common traits and customs."
"V34","Urban Studies","Organizations that conduct research in the area of social science that applies social science principles to the study of urban institutions and the forces influencing urban social and political life."
"V35","International Studies","Organizations that conduct research in the area of social science that involves the systematic study of the history, society, politics, culture and economics of particular geographical areas throughout the world."
"V36","Gerontology","Organizations that conduct research in the area of social science that involves the systematic study of the human aging process and aged human populations using the knowledge and methodologies of the social sciences, psychology and the biological health sciences."
"V37","Labor Studies","Organizations that conduct research in the area of social science that involves the systematic study of employee-management interactions and the management of issues and disputes regarding working conditions and worker benefit packages."
"V99","Social Science N.E.C.","Use this code for organizations that clearly provide social science research services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"W","Public & Societal Benefit",NA
"W01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Public, Society Benefit - Multipurpose and Other major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"W02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Public, Society Benefit - Multipurpose and Other major group area."
"W03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Public, Society Benefit - Multipurpose and Other major group area."
"W05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy research within the Public, Society Benefit - Multipurpose and Other major group area."
"W11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Public & Societal Benefit major group area."
"W12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Public, Society Benefit - Multipurpose and Other major group area."
"W19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Public, Society Benefit - Multipurpose and Other major group area."
"W20","Government & Public Administration","Organizations that are concerned with the effective functioning of government including the administration of public agencies and the actions and decisions of public officials. Use this code for organizations that undertake a broad range of activities directed at improving the functioning of the public sector and for those that provide specific services in this area that are not specified below."
"W22","Public Finance, Taxation & Monetary Policy","Organizations that are primarily engaged in financial administration and taxation including monetary policy; tax administration; collection, custody and disbursement of funds; debt and investment administration; and other similar activities."
"W24","Citizen Participation","Organizations that seek to ensure the broad participation of community residents in government decision making and the political process."
"W30","Military & Veterans Organizations","Membership organizations that are engaged in promoting the interests of the veterans or active or retired military personnel who are their members."
"W40","Public Transportation Systems","Organizations that provide fixed-route mass transit services that utilize buses, trains, ferry boats or other vehicles to transport people within the limits of a city, a metropolitan area, a county or a multi-county region, or to move people from outlying areas into a city or metropolitan area."
"W50","Telecommunications","Organizations that furnish point-to-point communications services including telephone and telegraph services."
"W60","Financial Institutions","Organizations that provide an alternative to the traditional banking system for people who want to maintain checking or savings accounts, purchase money orders, cash third-party checks or engage in other financial transactions."
"W61","Credit Unions","Cooperative 501(c)(14) associations that use money deposited by a group of people (e.g., fellow employees) and lend it out again to people in the same group at favorable interest rates."
"W70","Leadership Development","Organizations that are designed to train people to become effective leaders at the national or local level."
"W80","Public Utilities","Organizations that provide gas, electricity, water and sanitary services including the hook-up of services and the installation, maintenance and repair of necessary equipment. \[Many are located in section 501(c)(12).\]"
"W90","Consumer Protection","Organizations that provide for the education and protection of individuals who purchase, use, maintain and dispose of products and services."
"W99","Public & Societal Benefit N.E.C.","Use this code for organizations that clearly provide services relating to public affairs or society benefit where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"X","Religion-Related",NA
"X01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Religion Related, Spiritual Development major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"X02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Religion Related, Spiritual Development major group area."
"X03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Religion Related, Spiritual Development major group area."
"X05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Religion Related, Spiritual Development major group area."
"X11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Religion-Related major group area."
"X12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Religion Related, Spiritual Development major group area."
"X19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Religion Related, Spiritual Development major group area."
"X20","Christianity","Religious organizations that provide opportunities for people to satisfy their inner needs and enhance their spiritual growth through organized worship or through other devotional activities under the auspices of one of the group of religious faiths that is based on the teachings of Jesus Christ. Use this code for Christian denominations that are not specified below as well as their ministries, missions or missionary activities; bible camps and schools. (rev. 11/04)"
"X21","Protestant","Religious organizations whose form of Christian faith and practice originated with the principles of the Reformation. Use this code for Protestant churches as well as their ministries, missions or missionary activities; bible camps and schools; and bible distribution programs."
"X22","Roman Catholic","Religious organizations characterized by their acknowledgement of the supreme authority of the bishop of Rome, the pope, in matters of faith. Use this code for Roman Catholic churches as well as their ministries, missions or missionary activities; bible camps and schools; and bible distribution programs."
"X30","Judaism","Organizations whose members are a worldwide group which constitutes a continuation through descent or conversion of the ancient Jewish people; who practice Judaism, a religion that is characterized by a belief in one God and in the mission of Jews to teach the oneness of God as revealed in the Hebrew scriptures. Organizations making reference to Lubavitch, Chabad, Yeshiva, and Torah should also be classified here, but not necessarily those mentioning Israel, Hebrew, and Shalom."
"X40","Islam","Organizations whose members are followers of Islam, the religious faith and cultural system that is based on the belief in Allah as the sole deity, in Mohammed as the prophet of Allah and in the Koran as the revelation of Allah to Mohammed and the divinely authorized basis for the religious, social, civil, commercial, military and legal regulations of the Islamic world."
"X50","Buddhism","Organizations whose members are followers of the religion of eastern and central Asia that is based on the teachings of Gautama Buddha which stress that suffering is inherent in life and that one can achieve nirvana (release from suffering) through mental and moral self-purification. Includes Zen."
"X70","Hinduism","Organizations whose members are followers of the religious philosophy that originated on the Indian subcontinent and is marked by an outlook that tends to view all forms and theories as aspects of one eternal being and truth; a belief in ahimsa, karma, dharma, samsara and moksha; and the practice of the way of works, the way of knowledge or the way of devotion as the means of release from the round of rebirths."
"X80","Religious Media & Communications","Organizations with religious affiliations that are engaged in publishing, production or programming that has religious content. Use this code for organizations utilizing multiple types of media or for media not specified below."
"X81","Religious Film & Video","Organizations with religious affiliations that produce films, videos and holographic images which have religious content."
"X82","Religious Television","Organizations with religious affiliations that are engaged in television productions and broadcasts which have religious content."
"X83","Religious Printing & Publishing","Organizations with religious affiliations that publish books such as Bibles and other materials which have religious content."
"X84","Religious Radio","Organizations with religious affiliations that are engaged in radio productions and broadcasts which have religious content."
"X90","Interfaith Coalitions","Organizations representing multiple faiths that have gathered together to establish a worldwide Christian (or other religious) unity; to promote cooperation on such common tasks as supporting missions, working with students and sponsoring conferences; to establish mutual understanding regarding the fundamental issues of belief, worship and polity; and to serve as a united witness on world problems."
"X99","Religion-Related N.E.C.","Use this code for organizations that clearly provide services relating to religion where a more specific code cannot be accurately assigned. Examples may include Unitarianism, Taoism, Sikhs, Zoroastrism, Atheism, Actualism, Theosophy, Bahaism and reference to miracles."
"Y","Mutual & Membership Benefit",NA
"Y01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Mutual/Membership Benefit Organizations, Other major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"Y02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Mutual/Membership Benefit Organizations, Other major group area."
"Y03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Mutual/ Membership Benefit Organizations, Other major group area."
"Y05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Mutual/Membership Benefit Organizations, Other major group area."
"Y11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Mutual & Membership Benefit major group area."
"Y12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Mutual/Membership Benefit Organizations, Other major group area."
"Y19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Mutual/ Membership Benefit Organizations, Other major group area."
"Y20","Insurance Providers","Organizations that are established as vehicles for their parent corporations to set aside funds for workers compensation, medical malpractice, general liability claims, and other insurance purposes. This code is used primarily for organizations exempt from federal taxes under 501(c)(3) of the Internal Revenue Code."
"Y22","Local Benevolent Life Insurance Associations","Organizations that provide life insurance approximately at cost and on a mutual basis on a purely local or regional basis."
"Y23","Mutual Insurance Companies & Associations","Organizations that offer insurance in which members are both insurers and insured. The business is conducted for the benefit of policy holders. This code is used primarily for organizations exempt from federal taxes under 501(c)(15) of the Internal Revenue Code."
"Y24","Supplemental Unemployment Compensation","Organizations established at the behest of labor unions that supplement unemployment compensation payments from states for employees who are involuntarily laid off. This code is used primarily for organizations exempt from federal taxes under 501(c)(17) of the Internal Revenue Code."
"Y25","State-Sponsored Workers Compensation Reinsurance Organizations","State-sponsored organizations established exclusively to reimburse its members for losses under workers compensation acts. This code is used primarily for organizations exempt from federal taxes under 501(c)(27) of the Internal Revenue code."
"Y30","Pension & Retirement Funds","Organizations that manage retirement funds established primarily for the benefit of employees of tax-exempt or governmental organizations. This code is used primarily for organizations exempt from federal taxes under 501(c)(25) of the Internal Revenue Code."
"Y33","Teachers Retirement Fund Associations","Organizations that provide retirement and disability benefits for teachers and other school employees, or supporting services employees. This code is used primarily for organizations exempt from federal taxes under 501(c)(11) of the Internal Revenue Code."
"Y34","Employee Funded Pension Trusts","Organizations that maintain pension trusts funded by employees. This code is used primarily for organizations exempt from federal taxes under 501(c)(18) of the Internal Revenue Code."
"Y35","Multi-Employer Pension Plans","Organizations that maintain insurance plans established under the Employee Retirement Income Security Act of 1974 (ERISA) and meeting a number of legal requirements. This code is used primarily for organizations exempt from federal taxes under 501(c)(22) of the Internal 279 Revenue Code."
"Y40","Fraternal Societies","Organizations that provide services for the mutual aid and benefit of their members; that ordinarily have a lodge system whereby activities are carried out under a form of organization that comprises local branches, chartered by a parent organization and largely self-governing, and that make provision for the payment of death benefits, and for benefits in case of accident, sickness, or old age. Y40 should be used only if one of the more specific codes in the Y40 series cannot be determined."
"Y41","Fraternal Beneficiary Societies","Organizations that provide services for the mutual aid and benefit of their members; that ordinarily have a lodge system whereby activities are carried out under a form of organization that comprises local branches, chartered by a parent organization and largely self-governing, and that make provision for the payment of death benefits, and for benefits in case of accident, sickness, or old age. This code is used exclusively for organizations exempt from federal taxes under 501(c)(8) of the Internal Revenue Code."
"Y42","Domestic Fraternal Societies","Organizations, fraternal societies, or associations operating under the lodge system that do not provide life, health, accident, or other benefits to their members but rather devote their earnings to fraternal, religious, charitable, or other services. This code is used exclusively for organizations exempt from federal taxes under 501(c)(10) of the Internal Revenue Code."
"Y43","Voluntary Employees Beneficiary Associations (Non-Government)","Non-governmental organizations that provide for the payment of life, sick, accident, or other benefits to the voluntary members of associations or their dependents or designated beneficiaries. This code is used exclusively for organizations exempt from federal taxes under 501(c)(9) of the Internal Revenue Code."
"Y44","Voluntary Employees Beneficiary Associations Government)","Governmental organizations that provide for the payment of life, sick, accident, or other benefits to the voluntary members of associations or their dependents or designated beneficiaries. This code is used exclusively for organizations exempt from federal taxes under 501(c)(9) of the Internal Revenue Code."
"Y50","Cemeteries","Organizations that maintain cemeteries, or provide burial or funeral services for charitable purposes. This code is used primarily for organizations exempt from federal taxes under 501(c)(13) of the Internal Revenue Code."
"Y99","Mutual & Membership Benefit N.E.C.","Organizations that provide benefits or assistance primarily to employees that are not elsewhere classified."
"Z","Unknown",NA
"Z99","Unknown","This is a temporary code for organizations until information is available to classify the entity in major groups A through Y."
